dataset,variable,value
Annthyroid,Anomalies,0.6853932584269663
Cardio,Anomalies,0.5142857142857142
Landsat,Anomalies,0.7434358589647412
Mammography,Anomalies,0.8379446640316206
Mnist,Anomalies,0.7171428571428571
Pageblocks,Anomalies,0.5901960784313726
Pendigits,Anomalies,0.6153846153846154
Thyroid,Anomalies,0.4838709677419355
Wine,Anomalies,0.9
Wpbc,Anomalies,0.851063829787234
Annthyroid,Inliers,0.0560661764705882
Cardio,Inliers,0.05464480874316935
Landsat,Inliers,0.19423755390043118
Mammography,Inliers,0.027913100724160644
Mnist,Inliers,0.07272200492539471
Pageblocks,Inliers,0.061642432930575475
Pendigits,Inliers,0.01429848078641649
Thyroid,Inliers,0.012629806342969396
Wine,Inliers,0.07563025210084029
Wpbc,Inliers,0.26490066225165565
